name,date,error,count,cycles,hz
"curry-d","Sat Jul 13 2013 18:38:25 GMT-0700 (PDT)",,630,5,11658.935422795552
"curry","Sat Jul 13 2013 18:38:31 GMT-0700 (PDT)",,442,4,8211.19353430532
"curry-d","Sat Jul 13 2013 18:38:36 GMT-0700 (PDT)",,538,5,10090.795047381966
"curry","Sat Jul 13 2013 18:39:29 GMT-0700 (PDT)",,295,7,5572.368217574557
"curry-d","Sat Jul 13 2013 18:39:35 GMT-0700 (PDT)",,640,4,11763.795640985327
"curry","Sat Jul 13 2013 18:39:40 GMT-0700 (PDT)",,438,5,8323.743733854755
"curry-d","Sat Jul 13 2013 18:39:46 GMT-0700 (PDT)",,497,5,9392.804442078424
"curry","Sat Jul 13 2013 18:40:30 GMT-0700 (PDT)",,290,7,5516.792215060699
"curry-d","Sat Jul 13 2013 18:40:36 GMT-0700 (PDT)",,646,4,12126.225397367509
"curry","Sat Jul 13 2013 18:40:41 GMT-0700 (PDT)",,444,4,8541.026782210714
"curry-d","Sat Jul 13 2013 18:40:46 GMT-0700 (PDT)",,548,3,10083.949208197997
"curry","Sat Jul 13 2013 18:41:40 GMT-0700 (PDT)",,295,5,5678.3416729815635
"curry-d","Sat Jul 13 2013 18:41:46 GMT-0700 (PDT)",,645,3,12165.459343963968
"curry","Sat Jul 13 2013 18:41:51 GMT-0700 (PDT)",,449,6,8607.631359147868
"curry-d","Sat Jul 13 2013 18:41:57 GMT-0700 (PDT)",,551,3,10385.063919907596
"curry","Sat Jul 13 2013 18:43:50 GMT-0700 (PDT)",,301,10,5818.59358186101
"curry-d","Sat Jul 13 2013 18:43:56 GMT-0700 (PDT)",,642,4,12124.319938272716
"curry","Sat Jul 13 2013 18:44:01 GMT-0700 (PDT)",,447,6,8337.926508799716
"curry-d","Sat Jul 13 2013 18:44:07 GMT-0700 (PDT)",,501,4,9579.601516631645
"curry","Sat Jul 13 2013 18:45:06 GMT-0700 (PDT)",,299,5,5742.169630071882
"curry-d","Sat Jul 13 2013 18:45:12 GMT-0700 (PDT)",,624,5,11636.640622631678
"curry","Sat Jul 13 2013 18:45:17 GMT-0700 (PDT)",,451,5,8541.294354796575
"curry-d","Sat Jul 13 2013 18:45:23 GMT-0700 (PDT)",,549,4,10300.843415091753
"curry","Sat Jul 13 2013 22:30:37 GMT-0700 (PDT)",,296,9,5662.01373011358
"curry-d","Sat Jul 13 2013 22:30:42 GMT-0700 (PDT)",,232,4,4506.408408440137
"curry","Sat Jul 13 2013 22:30:48 GMT-0700 (PDT)",,465,4,8928.831305931602
"curry-d","Sat Jul 13 2013 22:30:53 GMT-0700 (PDT)",,400,3,7607.1128219235625
"curry","Sat Jul 13 2013 22:50:38 GMT-0700 (PDT)",,298,7,5664.382140603617
"curry-d","Sat Jul 13 2013 22:50:44 GMT-0700 (PDT)",,179,5,3455.0388847445142
"curry","Sat Jul 13 2013 22:50:49 GMT-0700 (PDT)",,458,4,8715.471509429924
"curry-d","Sat Jul 13 2013 22:50:55 GMT-0700 (PDT)",,163,5,3106.9482441347277
"curry","Sat Jul 13 2013 22:51:12 GMT-0700 (PDT)",,301,7,5709.5031374399605
"curry-d","Sat Jul 13 2013 22:51:18 GMT-0700 (PDT)",,668,6,12614.151353718149
"curry","Sat Jul 13 2013 22:51:23 GMT-0700 (PDT)",,478,5,8985.03786843585
"curry-d","Sat Jul 13 2013 22:51:28 GMT-0700 (PDT)",,592,3,11009.89916168343
"curry","Sat Jul 13 2013 23:17:53 GMT-0700 (PDT)",,297,7,5737.795489367708
"curry-d","Sat Jul 13 2013 23:17:58 GMT-0700 (PDT)",,652,4,12276.700015736023
"curry","Sat Jul 13 2013 23:18:03 GMT-0700 (PDT)",,472,5,9049.29002235809
"curry-d","Sat Jul 13 2013 23:18:09 GMT-0700 (PDT)",,557,3,10483.348551813333
"curry","Sun Jul 14 2013 02:11:56 GMT-0700 (PDT)",,298,7,5748.769030090348
"curry-d","Sun Jul 14 2013 02:12:01 GMT-0700 (PDT)",,701,4,12944.074482576412
"curry","Sun Jul 14 2013 02:12:07 GMT-0700 (PDT)",,493,5,9278.856827265448
"curry-d","Sun Jul 14 2013 02:12:12 GMT-0700 (PDT)",,579,3,10933.893439981297
"curry","Sun Jul 14 2013 02:14:59 GMT-0700 (PDT)",,296,7,5756.806356631996
"curry-d","Sun Jul 14 2013 02:15:04 GMT-0700 (PDT)",,631,4,11425.671572885436
"curry","Sun Jul 14 2013 02:15:10 GMT-0700 (PDT)",,450,3,8600.706183977074
"curry-d","Sun Jul 14 2013 02:15:15 GMT-0700 (PDT)",,528,5,10022.930840674959
